order_date,flavor,quantity,unit_price,customer_note
2026-02-21,Carrot,9.0,3.78,
2026-06-15,Vanilla,7.0,$2.7,
2026-01-28,funfetti,12.0,2.99,birthday order
2026-02-24,Carrot Cake Cupcake,12.0,3.78,
2026-04-05,lemon,3.0,3.22,
2026-04-05,Chocolate Cupcake,8.0,$3.0,wholesale
2026-03-31,Carrot Cake Cupcake,2.0,$3.84,
2026-01-30,Vanilla Cupcake,8.0,$2.67,
2026-01-16,vanilla,12.0,2.73,wholesale
2026-04-04,Carrot,3.0,$3.68,gift box
2026-04-06,Red velvet ,11.0,3.49,birthday order
2026-06-16,lemon,3.0,3.26,birthday order
2026-06-24,Vanilla Cupcake,2.0,$2.7,
2026-01-23,,6.0,2.73,gift box
2026-06-07,vanilla,11.0,2.84,
2026-03-15,funfetti,12.0,3.0,gift box
2026-06-06,Vanilla Cupcake,4.0,2.79,
2026-05-13,,10.0,2.96,
2026-01-12,RedVelvet,9.0,3.61,
2026-04-24,Lemon,9.0,$3.25,
2026-01-27,Fun Fetti,12.0,$2.99,
2026-04-27,vanilla,12.0,2.76,
2026-06-04,Choc,4.0,$2.9,
2026-04-13,Lemon Cupcake,2.0,3.17,gift box
2026-06-24,Vanilla,4.0,$2.69,
2026-05-06,Lemon,2.0,3.24,
2026-01-14,Red Velvet Cupcake,4.0,3.53,birthday order
03/06/2026,Vanila,7.0,$2.76,gift box
2026-05-09,,8.0,$3.53,gift box
01/04/2026,funfetti,12.0,3.02,gift box
2026-04-12,Funfetti Cupcake,3.0,2.98,wholesale
2026-04-01,Chocolate Cupcake,3.0,3.04,wholesale
2026-04-14,Red velvet ,4.0,3.59,wholesale
2026-06-16,RedVelvet,11.0,3.5,birthday order
2026-03-19,funfetti,8.0,$2.96,gift box
2026-04-13,Vanila,2.0,2.71,wholesale
2026-03-23,Lemon Cupcake,12.0,3.27,
2026-04-11,Chocolate,5.0,$2.96,gift box
2026-04-10,vanilla,1.0,2.86,
2026-02-05,,11.0,3.27,gift box
2026-02-08,Red velvet ,2.0,3.47,
2026-01-12,Funfetti Cupcake,1.0,$3.02,gift box
2026-06-07,Fun Fetti,12.0,$2.93,birthday order
2026-01-24,Funfetti Cupcake,11.0,3.0,
03/27/2026,lemon,9.0,$3.29,birthday order
2026-06-08,Carrot Cake Cupcake,1.0,$3.69,birthday order
2026-01-18,lemon,,$3.27,wholesale
2026-01-08,funfetti,12.0,$2.98,
2026-01-07,Fun Fetti,4.0,$3.01,
2026-05-23,,2.0,$3.0,
2026-05-11,Carrot Cake Cupcake,,3.73,
2026-05-25,Funfetti,2.0,3.0,birthday order
03/12/2026,Vanila,4.0,$2.82,wholesale
06/16/2026,Choc,12.0,3.07,gift box
2026-06-08,Choc,10.0,$3.0,
2026-05-01,Vanilla Cupcake,,$2.7,gift box
03/28/2026,Red Velvet Cupcake,2.0,$3.53,birthday order
2026-02-09,Lemon Cupcake,2.0,$3.17,gift box
2026-01-20,Funfetti,1.0,$3.01,
2026-03-25,RedVelvet,8.0,3.51,gift box
2026-05-08,Lemon,12.0,$3.18,birthday order
2026-04-06,Funfetti,1.0,2.99,birthday order
2026-06-13,Vanilla Cupcake,5.0,$2.75,wholesale
2026-05-19,Red velvet ,2.0,$3.5,
2026-05-05,Lemon Cupcake,1.0,3.22,gift box
04/24/2026,Vanila,2.0,2.73,birthday order
04/18/2026,funfetti,2.0,$3.03,
2026-03-29,RedVelvet,7.0,3.41,wholesale
03/17/2026,Funfetti Cupcake,4.0,3.06,birthday order
2026-06-25,funfetti,8.0,2.96,
2026-02-08,Chocolate Cupcake,12.0,2.99,birthday order
2026-02-18,Funfetti,12.0,3.01,
2026-05-02,Carrot,7.0,$3.77,
2026-06-19,Vanila,8.0,2.76,
2026-06-02,Vanila,12.0,2.74,
06/18/2026,funfetti,,$2.95,
2026-01-10,Chocolate Cupcake,3.0,3.04,
2026-06-25,Carrot Cake,10.0,3.83,wholesale
